Kecamatan,KODE DAGRI,Luas,Ketinggian,Januari 2020,Februari 2020,Maret 2020,April 2020,Mei 2020,Juni 2020,Juli 2020,Agustus 2020,September 2020,Oktober 2020,November 2020,Desember 2020
Ampel,1,30.38,699,0,0,0,0,0,0,0,0,0,0,0,0
Andong,2,54.53,154,16.00,6.00,14.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,5.00
Banyudono,3,25.38,185,19.00,24.00,18.00,15.00,10.00,3.00,1.00,2.00,1.00,8.00,13.00,19.00
Boyolali,4,26.25,461,18.00,22.00,18.00,16.00,10.00,2.00,1.00,3.00,1.00,11.00,11.00,24.00
Cepogo,5,53,909,24.00,27.00,25.00,18.00,16.00,5.00,1.00,5.00,2.00,12.00,18.00,29.00
Gladagsari,6,60.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Juwangi,7,79.99,66,11.00,14.00,13.00,6.00,6.00,0.00,2.00,2.00,3.00,8.00,12.00,19.00
Karanggede,8,41.76,295,14.00,16.00,13.00,12.00,10.00,26.00,3.00,33.00,3.00,8.00,12.00,17.00
Kemusu,9,81.43,103,0,0,0,0,0,0,0,0,0,0,0,0
Klego,10,51.88,261,12.00,13.00,11.00,11.00,4.00,1.00,3.00,1.00,2.00,6.00,10.00,13.00
Mojosongo,11,43.41,345,21.00,27.00,20.00,16.00,11.00,3.00,3.00,8.00,6.00,11.00,10.00,26.00
Musuk,12,30.53,632,18.00,22.00,20.00,19.00,10.00,3.00,1.00,2.00,3.00,10.00,13.00,21.00
Ngemplak,13,38.53,107,10.00,14.00,12.00,9.00,8.00,4.00,3.00,3.00,2.00,8.00,11.00,12.00
Nogosari,14,55.08,152,0,0,0,0,0,0,0,0,0,0,0,0
Sambi,15,46.49,184,21.00,20.00,18.00,15.00,8.00,3.00,1.00,2.00,1.00,8.00,1.00,18.00
Sawit,16,17.23,173,17.00,16.00,12.00,11.00,5.00,0.00,1.00,1.00,0.00,6.00,9.00,18.00
Selo,17,56.08,1564,28.00,23.00,16.00,17.00,14.00,2.00,1.00,2.00,4.00,8.00,9.00,20.00
Simo,18,48.04,195,23.00,22.00,17.00,16.00,9.00,3.00,4.00,5.00,2.00,13.00,16.00,20.00
Tamansari,19,34.51,0,18.00,22.00,20.00,19.00,10.00,3.00,1.00,2.00,3.00,10.00,13.00,21.00
Teras,20,29.94,227,21.00,27.00,20.00,16.00,11.00,3.00,3.00,8.00,6.00,11.00,10.00,26.00
Wonosamodro,21,58.86,0,0,0,0,0,0,0,0,0,0,0,0,0
Wonosegoro,22,51.79,177,15.00,17.00,11.00,12.00,5.00,3.00,0.00,0.00,0.00,1.00,8.00,9.00
